Iteration: 17500, Eval Loss: 2.1060593128204346
Iteration: 17600, Eval Loss: 2.1136069297790527
Iteration: 17700, Eval Loss: 2.0335795879364014
Iteration: 17800, Eval Loss: 2.105193614959717
Iteration: 17900, Eval Loss: 2.060506820678711
Iteration: 18000, Eval Loss: 2.0480775833129883
Iteration: 18100, Eval Loss: 2.0649449825286865
Iteration: 18200, Eval Loss: 2.0628926753997803
Iteration: 18300, Eval Loss: 2.142302989959717
Iteration: 18400, Eval Loss: 2.1039295196533203
Iteration: 18500, Eval Loss: 2.0397212505340576
Iteration: 18600, Eval Loss: 2.047909736633301
Iteration: 18700, Eval Loss: 2.115231513977051
Iteration: 18800, Eval Loss: 2.0195040702819824
Iteration: 18900, Eval Loss: 2.05519700050354
Iteration: 19000, Eval Loss: 2.0618276596069336
Iteration: 19100, Eval Loss: 2.021409511566162
Iteration: 19200, Eval Loss: 2.0336368083953857
Iteration: 19300, Eval Loss: 2.024494171142578
Iteration: 19400, Eval Loss: 2.054351329803467
Iteration: 19500, Eval Loss: 2.057321310043335
Iteration: 19600, Eval Loss: 2.0392580032348633
Iteration: 19700, Eval Loss: 2.0718095302581787
Iteration: 19800, Eval Loss: 2.0700392723083496
Iteration: 19900, Eval Loss: 2.0671021938323975
Iteration: 20000, Eval Loss: 2.0533535480499268
Iteration: 20100, Eval Loss: 2.028287172317505
Iteration: 20200, Eval Loss: 2.032066822052002
Iteration: 20300, Eval Loss: 1.986397385597229
Iteration: 20400, Eval Loss: 2.0120091438293457
Iteration: 20500, Eval Loss: 2.045037031173706
Iteration: 20600, Eval Loss: 2.027127265930176
Iteration: 20700, Eval Loss: 2.0097432136535645
Iteration: 20800, Eval Loss: 2.032377004623413
Iteration: 20900, Eval Loss: 2.016382932662964
Iteration: 21000, Eval Loss: 2.0401527881622314
Iteration: 21100, Eval Loss: 2.0608460903167725
Iteration: 21200, Eval Loss: 2.0513720512390137
Iteration: 21300, Eval Loss: 2.005308151245117
Iteration: 21400, Eval Loss: 1.9891620874404907
Iteration: 21500, Eval Loss: 2.0111474990844727
Iteration: 21600, Eval Loss: 2.0049548149108887
Iteration: 21700, Eval Loss: 2.0146894454956055
Iteration: 21800, Eval Loss: 2.01033878326416
Iteration: 21900, Eval Loss: 2.018430233001709
Iteration: 22000, Eval Loss: 2.0156521797180176
Iteration: 22100, Eval Loss: 2.0841522216796875
Iteration: 22200, Eval Loss: 2.067078113555908
Iteration: 22300, Eval Loss: 2.0256311893463135
Iteration: 22400, Eval Loss: 2.023254156112671
Iteration: 22500, Eval Loss: 2.0411407947540283
Iteration: 22600, Eval Loss: 1.9945409297943115
Iteration: 22700, Eval Loss: 1.9960745573043823
Iteration: 22800, Eval Loss: 1.95431387424469
Iteration: 22900, Eval Loss: 2.05607271194458
Iteration: 23000, Eval Loss: 2.0972700119018555
Iteration: 23100, Eval Loss: 2.0020196437835693
Iteration: 23200, Eval Loss: 2.0138769149780273
Iteration: 23300, Eval Loss: 2.0198814868927
Iteration: 23400, Eval Loss: 2.048729181289673
Iteration: 23500, Eval Loss: 2.0120601654052734
Iteration: 23600, Eval Loss: 1.9829474687576294
Iteration: 23700, Eval Loss: 2.0529749393463135
Iteration: 23800, Eval Loss: 1.9732228517532349
Iteration: 23900, Eval Loss: 1.9673293828964233
Iteration: 24000, Eval Loss: 2.008702516555786
Iteration: 24100, Eval Loss: 2.01202654838562
Iteration: 24200, Eval Loss: 2.0313570499420166
Iteration: 24300, Eval Loss: 2.029756546020508
Iteration: 24400, Eval Loss: 1.9945073127746582
Iteration: 24500, Eval Loss: 2.0354459285736084
Iteration: 24600, Eval Loss: 2.0206685066223145
Iteration: 24700, Eval Loss: 2.002390146255493
Iteration: 24800, Eval Loss: 1.977782964706421
Iteration: 24900, Eval Loss: 1.9242650270462036
Iteration: 25000, Eval Loss: 1.9793280363082886
Iteration: 25100, Eval Loss: 2.0475575923919678
Iteration: 25200, Eval Loss: 1.9594969749450684
Iteration: 25300, Eval Loss: 2.026242733001709
Iteration: 25400, Eval Loss: 2.025765895843506
Iteration: 25500, Eval Loss: 1.9740687608718872
Iteration: 25600, Eval Loss: 1.9261298179626465
Iteration: 25700, Eval Loss: 1.9879146814346313
Iteration: 25800, Eval Loss: 1.948436975479126
Iteration: 25900, Eval Loss: 2.025301456451416
Iteration: 26000, Eval Loss: 1.9906035661697388
Iteration: 26100, Eval Loss: 2.0148282051086426
Iteration: 26200, Eval Loss: 1.98358952999115
Iteration: 26300, Eval Loss: 1.9817228317260742
Iteration: 26400, Eval Loss: 1.9541594982147217
Iteration: 26500, Eval Loss: 2.004544258117676
Iteration: 26600, Eval Loss: 1.9659123420715332
Iteration: 26700, Eval Loss: 1.984920859336853
Iteration: 26800, Eval Loss: 1.9898523092269897
Iteration: 26900, Eval Loss: 1.974972128868103
Iteration: 27000, Eval Loss: 1.9677518606185913
Iteration: 27100, Eval Loss: 1.9903755187988281
Iteration: 27200, Eval Loss: 1.942914605140686
Iteration: 27300, Eval Loss: 1.9746906757354736
Iteration: 27400, Eval Loss: 1.944369912147522
Iteration: 27500, Eval Loss: 1.9627838134765625
Iteration: 27600, Eval Loss: 1.9786475896835327
Iteration: 27700, Eval Loss: 1.9612942934036255
Iteration: 27800, Eval Loss: 1.9993348121643066
Iteration: 27900, Eval Loss: 1.9470819234848022
Iteration: 28000, Eval Loss: 2.0202810764312744
Iteration: 28100, Eval Loss: 1.9793100357055664
Iteration: 28200, Eval Loss: 1.9659007787704468
Iteration: 28300, Eval Loss: 1.9640403985977173
Iteration: 28400, Eval Loss: 1.961939811706543
Iteration: 28500, Eval Loss: 1.9748759269714355
Iteration: 28600, Eval Loss: 1.9801958799362183
Iteration: 28700, Eval Loss: 1.9342225790023804
Iteration: 28800, Eval Loss: 1.975792407989502
Iteration: 28900, Eval Loss: 1.9206231832504272
Iteration: 29000, Eval Loss: 1.9693166017532349
Iteration: 29100, Eval Loss: 1.9544727802276611
Iteration: 29200, Eval Loss: 1.9235590696334839
Iteration: 29300, Eval Loss: 1.9492117166519165
Iteration: 29400, Eval Loss: 1.9756804704666138
Iteration: 29500, Eval Loss: 1.9912817478179932
Iteration: 29600, Eval Loss: 1.9704972505569458
Iteration: 29700, Eval Loss: 1.9734989404678345
Iteration: 29800, Eval Loss: 1.9516030550003052
Iteration: 29900, Eval Loss: 1.913187861442566
Iteration: 30000, Eval Loss: 1.930732250213623
Iteration: 30100, Eval Loss: 1.9220548868179321
Iteration: 30200, Eval Loss: 1.9459457397460938
Iteration: 30300, Eval Loss: 1.9601739645004272
Iteration: 30400, Eval Loss: 1.9351654052734375
Iteration: 30500, Eval Loss: 1.9352926015853882
Iteration: 30600, Eval Loss: 1.9479514360427856
Iteration: 30700, Eval Loss: 1.9572663307189941
Iteration: 30800, Eval Loss: 1.9644180536270142
Iteration: 30900, Eval Loss: 1.9630286693572998
Iteration: 31000, Eval Loss: 1.9115512371063232
Iteration: 31100, Eval Loss: 1.9483106136322021
Iteration: 31200, Eval Loss: 1.9184273481369019
Iteration: 31300, Eval Loss: 1.950474500656128
Iteration: 31400, Eval Loss: 1.9606140851974487
Iteration: 31500, Eval Loss: 1.949466347694397
Iteration: 31600, Eval Loss: 2.0057339668273926
Iteration: 31700, Eval Loss: 1.9578489065170288
Iteration: 31800, Eval Loss: 1.9496785402297974
Iteration: 31900, Eval Loss: 1.9378466606140137
Iteration: 32000, Eval Loss: 1.9505409002304077
Iteration: 32100, Eval Loss: 2.00077486038208
Iteration: 32200, Eval Loss: 1.9500356912612915
Iteration: 32300, Eval Loss: 1.934183955192566
Iteration: 32400, Eval Loss: 1.9754929542541504
Iteration: 32500, Eval Loss: 1.8988627195358276
Iteration: 32600, Eval Loss: 1.9375314712524414
Iteration: 32700, Eval Loss: 1.8906240463256836
Iteration: 32800, Eval Loss: 1.9223148822784424
Iteration: 32900, Eval Loss: 1.9155672788619995
Iteration: 33000, Eval Loss: 1.947462797164917
Iteration: 33100, Eval Loss: 1.9172403812408447
Iteration: 33200, Eval Loss: 1.9780642986297607
Iteration: 33300, Eval Loss: 1.9567080736160278
Iteration: 33400, Eval Loss: 1.876404881477356
Iteration: 33500, Eval Loss: 1.9490159749984741
Iteration: 33600, Eval Loss: 1.9565454721450806
Iteration: 33700, Eval Loss: 1.9154994487762451
Iteration: 33800, Eval Loss: 1.9566559791564941
Iteration: 33900, Eval Loss: 1.954930067062378
Iteration: 34000, Eval Loss: 1.9281659126281738
Iteration: 34100, Eval Loss: 1.9159570932388306
Iteration: 34200, Eval Loss: 1.933222770690918
Iteration: 34300, Eval Loss: 1.968823790550232
Iteration: 34400, Eval Loss: 1.9604741334915161
Iteration: 34500, Eval Loss: 1.8798378705978394
Iteration: 34600, Eval Loss: 1.9031603336334229
Iteration: 34700, Eval Loss: 1.9617958068847656
Iteration: 34800, Eval Loss: 1.9159553050994873
Iteration: 34900, Eval Loss: 1.9074567556381226
Iteration: 35000, Eval Loss: 1.9172625541687012
Iteration: 35100, Eval Loss: 1.9710510969161987
Iteration: 35200, Eval Loss: 1.9157568216323853
Iteration: 35300, Eval Loss: 1.9125332832336426
Iteration: 35400, Eval Loss: 1.9144552946090698
Iteration: 35500, Eval Loss: 1.91438627243042
Iteration: 35600, Eval Loss: 1.9489325284957886
Iteration: 35700, Eval Loss: 1.8888983726501465
Iteration: 35800, Eval Loss: 1.9206242561340332
Iteration: 35900, Eval Loss: 1.905893087387085
Iteration: 36000, Eval Loss: 1.9314219951629639
Iteration: 36100, Eval Loss: 1.9127404689788818
Iteration: 36200, Eval Loss: 1.9632693529129028
Iteration: 36300, Eval Loss: 1.8860812187194824
Iteration: 36400, Eval Loss: 1.9286749362945557
Iteration: 36500, Eval Loss: 1.9463332891464233
Iteration: 36600, Eval Loss: 1.9216243028640747
Iteration: 36700, Eval Loss: 1.9213086366653442
Iteration: 36800, Eval Loss: 1.9168357849121094
Iteration: 36900, Eval Loss: 1.8914222717285156
Iteration: 37000, Eval Loss: 1.8687701225280762
Iteration: 37100, Eval Loss: 1.9289934635162354
Iteration: 37200, Eval Loss: 1.9800678491592407
Iteration: 37300, Eval Loss: 1.9366364479064941
Iteration: 37400, Eval Loss: 1.913793683052063
Iteration: 37500, Eval Loss: 1.9163521528244019
Iteration: 37600, Eval Loss: 1.883151888847351
Iteration: 37700, Eval Loss: 1.8938982486724854
Iteration: 37800, Eval Loss: 1.9373581409454346
Iteration: 37900, Eval Loss: 1.9059326648712158
Iteration: 38000, Eval Loss: 1.855527639389038
Iteration: 38100, Eval Loss: 1.8850916624069214
Iteration: 38200, Eval Loss: 1.9092053174972534
Iteration: 38300, Eval Loss: 1.8805267810821533
Iteration: 38400, Eval Loss: 1.902651071548462
